id,name,card,date,amount,merchant,category
1,Robert Johnson,3517111172421930,2018-03-10 23:00:35,0.76,Riggs-Adams,restaurant
1,Robert Johnson,3517111172421930,2018-03-30 17:36:58,1.26,"Richardson, Smith and Jordan",food truck
1,Robert Johnson,3517111172421930,2018-05-06 17:28:44,1.83,White-Hall,bar
1,Robert Johnson,3517111172421930,2018-06-08 13:48:44,1.98,Ruiz-Chavez,bar
1,Robert Johnson,3517111172421930,2018-06-22 11:53:25,1.29,"Brown, Ballard and Glass",restaurant
1,Robert Johnson,3517111172421930,2018-07-17 16:30:39,0.69,Hood-Phillips,bar
1,Robert Johnson,3517111172421930,2018-08-21 16:23:34,1.10,Fowler and Sons,food truck
1,Robert Johnson,4761049645711555811,2018-01-11 19:36:21,1.72,"Bond, Lewis and Rangel",restaurant
1,Robert Johnson,4761049645711555811,2018-07-09 11:52:10,1.40,Martin Inc,restaurant
1,Robert Johnson,4761049645711555811,2018-10-05 19:04:16,1.54,Patton-Rivera,bar
2,Shane Shaffer,4866761290278198714,2018-01-06 02:16:41,1.33,"Williams, Wright and Wagner",coffee shop
2,Shane Shaffer,4866761290278198714,2018-02-03 18:05:39,1.41,"Allen, Ramos and Carroll",pub
2,Shane Shaffer,4866761290278198714,2018-03-20 17:15:15,1.64,Smith-Richards,pub
2,Shane Shaffer,4866761290278198714,2018-05-22 22:34:52,1.19,Baker Inc,food truck
2,Shane Shaffer,4866761290278198714,2018-10-02 18:48:15,1.17,Clark and Sons,food truck
2,Shane Shaffer,675911140852,2018-02-26 01:52:16,1.01,Fowler and Sons,food truck
2,Shane Shaffer,675911140852,2018-04-01 11:54:51,1.08,Wheeler-Moreno,food truck
2,Shane Shaffer,675911140852,2018-04-29 18:35:27,0.70,Martinez Group,restaurant
2,Shane Shaffer,675911140852,2018-05-24 20:39:06,1.76,Griffin-Woodard,bar
2,Shane Shaffer,675911140852,2018-06-18 19:37:57,1.67,Townsend-Anderson,restaurant
2,Shane Shaffer,675911140852,2018-09-21 01:57:52,1.58,Patton-Rivera,bar
3,Elizabeth Sawyer,30078299053512,2018-04-01 01:48:11,1.71,Santos-Fitzgerald,pub
3,Elizabeth Sawyer,30078299053512,2018-09-21 18:49:20,1.71,"Mcdaniel, Hines and Mcfarland",coffee shop
3,Elizabeth Sawyer,30078299053512,2018-10-05 08:27:56,1.36,Sweeney-Paul,coffee shop
4,Danielle Green,4263694062533017,2018-04-06 02:30:41,1.44,Lopez-Kelly,restaurant
4,Danielle Green,4263694062533017,2018-10-25 10:50:01,1.93,"Sanders, Parks and Mcfarland",coffee shop
4,Danielle Green,4263694062533017,2018-12-01 23:15:08,1.01,Johnson and Sons,coffee shop
4,Danielle Green,4263694062533017,2018-12-21 01:16:45,1.45,"Ford, Williams and Dunn",pub
4,Danielle Green,584226564303,2018-03-04 12:58:48,1.94,Mitchell Group,coffee shop
4,Danielle Green,584226564303,2018-03-29 00:33:24,1.41,Riggs-Adams,restaurant
4,Danielle Green,584226564303,2018-04-06 13:45:51,1.59,Wood-Ramirez,bar
4,Danielle Green,584226564303,2018-04-27 17:08:12,0.86,Berry-Lopez,restaurant
4,Danielle Green,584226564303,2018-05-12 16:10:59,1.56,Smith PLC,bar
4,Danielle Green,584226564303,2018-05-20 09:22:21,1.29,Russell-Thomas,restaurant
4,Danielle Green,584226564303,2018-06-04 17:48:07,1.89,Sweeney-Paul,coffee shop
4,Danielle Green,584226564303,2018-07-02 04:53:58,0.70,"Jones, Clark and Hoover",coffee shop
