id,date,time,amount,card,id_merchant
222,1/1/2018 21:35,1/1/2018 21:35,6.22,3.56195E+15,69
2045,1/1/2018 21:43,1/1/2018 21:43,3.83,5.13584E+15,85
395,1/1/2018 22:41,1/1/2018 22:41,9.61,2.13194E+14,82
3309,1/1/2018 23:13,1/1/2018 23:13,19.03,4.26369E+15,5
567,1/1/2018 23:15,1/1/2018 23:15,2.95,4.498E+12,64
1683,1/2/2018 1:13,1/2/2018 1:13,11.24,4.26369E+15,127
2083,1/2/2018 2:06,1/2/2018 2:06,1.46,4.31965E+12,93
3488,1/2/2018 4:36,1/2/2018 4:36,3.36,4.50641E+15,136
2635,1/2/2018 5:45,1/2/2018 5:45,16.69,5.29719E+15,120
432,1/2/2018 10:13,1/2/2018 10:13,8.55,5.17595E+15,70
2918,1/2/2018 11:28,1/2/2018 11:28,15.85,1.80099E+14,16
2020,1/2/2018 13:17,1/2/2018 13:17,2.64,5.0188E+11,84
1084,1/2/2018 15:10,1/2/2018 15:10,10.52,6.50024E+15,39
3490,1/2/2018 16:14,1/2/2018 16:14,3.12,3.51711E+15,21
1179,1/2/2018 19:40,1/2/2018 19:40,10.44,4.74104E+12,55
99,1/2/2018 23:27,1/2/2018 23:27,1031,5.0188E+11,95
191,1/3/2018 5:13,1/3/2018 5:13,2.76,3.53565E+15,149
2387,1/3/2018 8:44,1/3/2018 8:44,3.89,4.02791E+15,74
2512,1/3/2018 10:18,1/3/2018 10:18,14.57,4.26849E+15,106
793,1/3/2018 10:34,1/3/2018 10:34,2.63,3.0182E+13,35
533,1/3/2018 15:23,1/3/2018 15:23,1.39,4.96292E+18,100
1077,1/3/2018 18:16,1/3/2018 18:16,10.27,5.01809E+11,84
2120,1/3/2018 21:04,1/3/2018 21:04,1.91,3.56107E+15,108
1302,1/4/2018 0:29,1/4/2018 0:29,12.45,3.56195E+15,39
2022,1/4/2018 1:28,1/4/2018 1:28,2.81,4.64401E+18,89
2806,1/4/2018 1:35,1/4/2018 1:35,20.33,3.51695E+15,112
2922,1/4/2018 3:00,1/4/2018 3:00,17.59,5.01809E+11,100
2650,1/4/2018 3:05,1/4/2018 3:05,1685,3.51695E+15,80
1510,1/4/2018 6:34,1/4/2018 6:34,10.22,4.18816E+15,80
139,1/4/2018 11:15,1/4/2018 11:15,5.72,3.53565E+15,99
1331,1/4/2018 13:41,1/4/2018 13:41,12.7,5.13584E+15,122
530,1/4/2018 14:38,1/4/2018 14:38,2.84,3.53565E+15,73
2859,1/4/2018 17:19,1/4/2018 17:19,15.48,5.17595E+15,72
2694,1/4/2018 19:24,1/4/2018 19:24,14.31,4.58696E+18,134
2127,1/5/2018 0:49,1/5/2018 0:49,2.32,4.18816E+15,136
1995,1/5/2018 1:10,1/5/2018 1:10,5.09,5.01809E+11,46
1346,1/5/2018 3:11,1/5/2018 3:11,12.2,4.26849E+15,69
2176,1/5/2018 5:47,1/5/2018 5:47,4.64,5.17595E+15,103
1552,1/5/2018 6:26,1/5/2018 6:26,10.74,3.72415E+14,86
