id,name,card,date,amount,merchant,category
1,Robert Johnson,4761049645711555811,2018-12-07 07:22:03,1894.00,"Curry, Scott and Richardson",bar
16,Crystal Clark,5570600642865857,2018-03-05 08:26:08,1617.00,Mccarty-Thomas,bar
25,Nancy Contreras,4319653513507,2018-03-06 07:18:09,1334.00,Griffin-Woodard,bar
16,Crystal Clark,5570600642865857,2018-01-22 08:07:03,1131.00,"Walker, Deleon and Wolf",restaurant
1,Robert Johnson,4761049645711555811,2018-09-26 08:48:40,1060.00,"Jenkins, Peterson and Beck",restaurant
1,Robert Johnson,4761049645711555811,2018-09-06 08:28:55,1017.00,"Jacobs, Torres and Walker",bar
9,Laurie Gibbs,30181963913340,2018-03-26 07:41:59,1009.00,Padilla-Clements,coffee shop
12,Megan Price,501879657465,2018-12-14 08:51:41,748.00,Johnson-Fuller,pub
25,Nancy Contreras,4319653513507,2018-04-01 07:17:21,100.00,Padilla-Clements,coffee shop
20,Kevin Spencer,4506405265172173,2018-08-26 07:15:18,23.13,Marshall-Lopez,food truck
10,Matthew Gutierrez,4165305432349489280,2018-08-28 07:17:14,20.71,"Pitts, Salinas and Garcia",coffee shop
20,Kevin Spencer,4586962917519654607,2018-10-07 08:16:54,20.44,Kelley-Roberts,food truck
16,Crystal Clark,5500708021555307,2018-10-18 07:16:04,19.86,Johnson-Fuller,pub
24,Stephanie Dalton,4681896441519,2018-03-03 08:42:02,19.50,"Wilson, Roberts and Davenport",food truck
4,Danielle Green,584226564303,2018-06-04 08:30:28,19.49,Reed Group,food truck
16,Crystal Clark,5500708021555307,2018-03-26 08:08:27,19.34,Johnson-Fuller,pub
11,Brandon Pineda,180098539019105,2018-06-01 08:56:59,19.33,Lee LLC,restaurant
10,Matthew Gutierrez,4962915017023706562,2018-12-23 07:39:47,19.27,Jarvis-Turner,pub
15,Kyle Tucker,4723783028106084756,2018-09-23 07:30:56,19.02,"Bond, Lewis and Rangel",restaurant
5,Sara Cooper,4268491956169254,2018-02-21 08:21:10,18.98,"Wilson, Roberts and Davenport",food truck
