id,date,amount,card,id_merchant,time
222,1/1/2018 21:35,6.22,3.56195E+15,69,1/1/2018 21:35
2045,1/1/2018 21:43,3.83,5.13584E+15,85,1/1/2018 21:43
395,1/1/2018 22:41,9.61,2.13194E+14,82,1/1/2018 22:41
3309,1/1/2018 23:13,19.03,4.26369E+15,5,1/1/2018 23:13
567,1/1/2018 23:15,2.95,4.498E+12,64,1/1/2018 23:15
1683,1/2/2018 1:13,11.24,4.26369E+15,127,1/2/2018 1:13
2083,1/2/2018 2:06,1.46,4.31965E+12,93,1/2/2018 2:06
3488,1/2/2018 4:36,3.36,4.50641E+15,136,1/2/2018 4:36
2635,1/2/2018 5:45,16.69,5.29719E+15,120,1/2/2018 5:45
432,1/2/2018 10:13,8.55,5.17595E+15,70,1/2/2018 10:13
2918,1/2/2018 11:28,15.85,1.80099E+14,16,1/2/2018 11:28
2020,1/2/2018 13:17,2.64,5.0188E+11,84,1/2/2018 13:17
1084,1/2/2018 15:10,10.52,6.50024E+15,39,1/2/2018 15:10
3490,1/2/2018 16:14,3.12,3.51711E+15,21,1/2/2018 16:14
1179,1/2/2018 19:40,10.44,4.74104E+12,55,1/2/2018 19:40
99,1/2/2018 23:27,1031,5.0188E+11,95,1/2/2018 23:27
191,1/3/2018 5:13,2.76,3.53565E+15,149,1/3/2018 5:13
2387,1/3/2018 8:44,3.89,4.02791E+15,74,1/3/2018 8:44
2512,1/3/2018 10:18,14.57,4.26849E+15,106,1/3/2018 10:18
793,1/3/2018 10:34,2.63,3.0182E+13,35,1/3/2018 10:34
533,1/3/2018 15:23,1.39,4.96292E+18,100,1/3/2018 15:23
1077,1/3/2018 18:16,10.27,5.01809E+11,84,1/3/2018 18:16
2120,1/3/2018 21:04,1.91,3.56107E+15,108,1/3/2018 21:04
1302,1/4/2018 0:29,12.45,3.56195E+15,39,1/4/2018 0:29
2022,1/4/2018 1:28,2.81,4.64401E+18,89,1/4/2018 1:28
2806,1/4/2018 1:35,20.33,3.51695E+15,112,1/4/2018 1:35
2922,1/4/2018 3:00,17.59,5.01809E+11,100,1/4/2018 3:00
2650,1/4/2018 3:05,1685,3.51695E+15,80,1/4/2018 3:05
1510,1/4/2018 6:34,10.22,4.18816E+15,80,1/4/2018 6:34
139,1/4/2018 11:15,5.72,3.53565E+15,99,1/4/2018 11:15
1331,1/4/2018 13:41,12.7,5.13584E+15,122,1/4/2018 13:41
530,1/4/2018 14:38,2.84,3.53565E+15,73,1/4/2018 14:38
2859,1/4/2018 17:19,15.48,5.17595E+15,72,1/4/2018 17:19
2694,1/4/2018 19:24,14.31,4.58696E+18,134,1/4/2018 19:24
2127,1/5/2018 0:49,2.32,4.18816E+15,136,1/5/2018 0:49
1995,1/5/2018 1:10,5.09,5.01809E+11,46,1/5/2018 1:10
1346,1/5/2018 3:11,12.2,4.26849E+15,69,1/5/2018 3:11
2176,1/5/2018 5:47,4.64,5.17595E+15,103,1/5/2018 5:47
1552,1/5/2018 6:26,10.74,3.72415E+14,86,1/5/2018 6:26
487,1/5/2018 6:27,4.6,4.15984E+18,48,1/5/2018 6:27
2077,1/5/2018 7:19,1.36,3.4412E+14,30,1/5/2018 7:19
314,1/5/2018 10:42,5.31,3.56107E+15,8,1/5/2018 10:42
77,1/5/2018 16:58,4.57,5.13584E+15,91,1/5/2018 16:58
1570,1/6/2018 1:43,10.04,5.50071E+15,34,1/6/2018 1:43
2439,1/6/2018 2:16,1.33,4.86676E+18,127,1/6/2018 2:16
2258,1/6/2018 4:43,5.31,5.29719E+15,42,1/6/2018 4:43
1867,1/6/2018 5:13,10.82,4.86676E+18,70,1/6/2018 5:13
846,1/6/2018 6:46,2.7,2.13194E+14,146,1/6/2018 6:46
2890,1/6/2018 7:00,18.35,3.56195E+15,76,1/6/2018 7:00
3291,1/6/2018 8:42,18.72,3.53565E+15,76,1/6/2018 8:42
2557,1/6/2018 8:49,16.28,4.26849E+15,101,1/6/2018 8:49
325,1/6/2018 23:33,7.6,3.76028E+14,141,1/6/2018 23:33
2663,1/7/2018 0:30,17.84,4.15984E+18,112,1/7/2018 0:30
3457,1/7/2018 1:10,175,3.4412E+14,12,1/7/2018 1:10
447,1/7/2018 7:33,7.07,4.83448E+15,14,1/7/2018 7:33
1249,1/7/2018 10:31,10.9,5.29719E+15,135,1/7/2018 10:31
2108,1/7/2018 14:57,2.93,4.31965E+12,137,1/7/2018 14:57
3028,1/7/2018 15:10,17.29,4.86676E+18,126,1/7/2018 15:10
149,1/7/2018 16:50,5.83,4.15984E+18,81,1/7/2018 16:50
2304,1/7/2018 20:35,2.5,6.01199E+15,104,1/7/2018 20:35
1384,1/8/2018 0:26,10.04,3.58135E+15,64,1/8/2018 0:26
1371,1/8/2018 1:12,10.4,5.50071E+15,121,1/8/2018 1:12
1291,1/8/2018 2:34,1029,3.58135E+15,145,1/8/2018 2:34
1065,1/8/2018 4:15,11.49,4.74104E+12,130,1/8/2018 4:15
1340,1/8/2018 4:29,10.64,5.01809E+11,116,1/8/2018 4:29
1544,1/8/2018 6:27,10.48,4.02791E+15,68,1/8/2018 6:27
522,1/8/2018 10:48,11.06,4.7432E+18,113,1/8/2018 10:48
812,1/8/2018 11:15,333,3.4412E+14,95,1/8/2018 11:15
1640,1/8/2018 11:21,11.98,5.50071E+15,133,1/8/2018 11:21
2550,1/8/2018 11:35,15.84,4.15072E+15,15,1/8/2018 11:35
2095,1/8/2018 14:06,3.52,1.80099E+14,95,1/8/2018 14:06
3130,1/8/2018 16:38,21.27,5.29719E+15,106,1/8/2018 16:38
3085,1/8/2018 19:31,17.43,5.84227E+11,19,1/8/2018 19:31
1816,1/8/2018 20:10,11.55,3.4412E+14,102,1/8/2018 20:10
3480,1/8/2018 21:44,1.68,4.6819E+12,78,1/8/2018 21:44
1188,1/8/2018 21:44,10.64,5.17595E+15,84,1/8/2018 21:44
379,1/9/2018 11:14,7.07,5.01809E+11,136,1/9/2018 11:14
687,1/9/2018 21:06,2.7,4.50641E+15,67,1/9/2018 21:06
2558,1/9/2018 21:43,16.37,4.6819E+12,64,1/9/2018 21:43
754,1/10/2018 0:25,1.39,3.72415E+14,50,1/10/2018 0:25
608,1/10/2018 3:17,0.87,5.03843E+11,129,1/10/2018 3:17
2818,1/10/2018 3:24,16.64,3.56195E+15,65,1/10/2018 3:24
865,1/10/2018 3:55,2.3,4.15072E+15,19,1/10/2018 3:55
998,1/10/2018 10:07,10.91,6.75911E+11,78,1/10/2018 10:07
1436,1/10/2018 13:41,11.5,3.51711E+15,49,1/10/2018 13:41
1938,1/10/2018 14:50,5.64,5.36178E+15,44,1/10/2018 14:50
602,1/10/2018 15:56,1.22,5.03843E+11,27,1/10/2018 15:56
3289,1/10/2018 19:53,18.41,4.15984E+18,23,1/10/2018 19:53
1361,1/10/2018 23:03,10.7,3.53565E+15,70,1/10/2018 23:03
496,1/11/2018 0:39,3.23,5.03843E+11,68,1/11/2018 0:39
156,1/11/2018 9:27,5.55,6.01199E+15,107,1/11/2018 9:27
315,1/11/2018 9:38,7.94,5.13584E+15,146,1/11/2018 9:38
3498,1/11/2018 9:58,1.62,5.50071E+15,149,1/11/2018 9:58
3331,1/11/2018 10:51,1.24,3.00633E+13,7,1/11/2018 10:51
2128,1/11/2018 12:46,3.97,4.83448E+15,44,1/11/2018 12:46
2188,1/11/2018 13:20,229,5.5706E+15,115,1/11/2018 13:20
1716,1/11/2018 16:18,10.27,5.36178E+15,46,1/11/2018 16:18
2146,1/11/2018 19:36,1.72,4.76105E+18,99,1/11/2018 19:36
2779,1/11/2018 22:55,19.5,4.26849E+15,8,1/11/2018 22:55
1048,1/12/2018 2:18,11.52,3.5822E+15,2,1/12/2018 2:18
2170,1/12/2018 2:48,1.84,3.0143E+13,2,1/12/2018 2:48
2025,1/12/2018 4:33,5.32,4.18816E+15,10,1/12/2018 4:33
451,1/12/2018 6:34,6.19,3.0182E+13,40,1/12/2018 6:34
444,1/12/2018 13:30,5.92,4.50641E+15,38,1/12/2018 13:30
416,1/12/2018 13:59,4.45,5.01809E+11,85,1/12/2018 13:59
291,1/12/2018 16:29,4.69,4.26849E+15,144,1/12/2018 16:29
3373,1/12/2018 18:04,1.88,4.6819E+12,44,1/12/2018 18:04
270,1/12/2018 22:14,6.4,4.27647E+12,112,1/12/2018 22:14
1937,1/12/2018 23:38,1.1,4.50641E+15,64,1/12/2018 23:38
2835,1/13/2018 2:02,17.12,3.76028E+14,2,1/13/2018 2:02
3175,1/13/2018 3:06,16.27,4.26849E+15,24,1/13/2018 3:06
450,1/13/2018 3:20,4.89,2.13194E+14,58,1/13/2018 3:20
2222,1/13/2018 4:49,3.63,4.50641E+15,53,1/13/2018 4:49
2755,1/13/2018 6:07,19.24,4.96292E+18,32,1/13/2018 6:07
582,1/13/2018 14:36,1.35,4.15072E+15,102,1/13/2018 14:36
1546,1/13/2018 15:22,10.15,4.71177E+15,108,1/13/2018 15:22
718,1/13/2018 18:34,2.22,4.26369E+15,9,1/13/2018 18:34
3445,1/13/2018 22:18,2.11,3.0143E+13,3,1/13/2018 22:18
2386,1/13/2018 22:26,3.79,5.50071E+15,106,1/13/2018 22:26
2843,1/14/2018 3:20,14.69,5.84227E+11,133,1/14/2018 3:20
3023,1/14/2018 5:02,17.84,3.72415E+14,52,1/14/2018 5:02
2879,1/14/2018 6:19,21.11,3.53565E+15,74,1/14/2018 6:19
830,1/14/2018 7:06,3.15,5.84227E+11,96,1/14/2018 7:06
2521,1/14/2018 7:33,15.21,4.74104E+12,21,1/14/2018 7:33
1482,1/14/2018 7:50,10.23,3.76028E+14,38,1/14/2018 7:50
1916,1/14/2018 10:04,12.33,4.16531E+18,55,1/14/2018 10:04
1560,1/14/2018 13:30,10.94,3.51711E+15,19,1/14/2018 13:30
3159,1/14/2018 15:03,16.67,2.13194E+14,30,1/14/2018 15:03
604,1/14/2018 15:31,1.42,3.76028E+14,97,1/14/2018 15:31
970,1/14/2018 17:29,10.31,4.50641E+15,40,1/14/2018 17:29
3359,1/15/2018 3:37,1.47,4.83448E+15,139,1/15/2018 3:37
2787,1/15/2018 6:23,15.87,4.53999E+15,70,1/15/2018 6:23
2622,1/15/2018 10:27,15.51,4.76105E+18,8,1/15/2018 10:27
1382,1/15/2018 11:52,11.67,4.15984E+18,139,1/15/2018 11:52
3105,1/15/2018 11:55,17.16,3.56195E+15,101,1/15/2018 11:55
2581,1/15/2018 19:37,18.61,3.56195E+15,74,1/15/2018 19:37
591,1/15/2018 20:53,2.95,4.6819E+12,98,1/15/2018 20:53
2714,1/16/2018 0:57,15.33,4.50641E+15,149,1/16/2018 0:57
3333,1/16/2018 2:26,1.65,3.72415E+14,31,1/16/2018 2:26
3068,1/16/2018 3:22,13.29,5.29719E+15,12,1/16/2018 3:22
3065,1/16/2018 4:12,16.89,4.71177E+15,109,1/16/2018 4:12
2655,1/16/2018 6:29,17.64,6.75911E+11,136,1/16/2018 6:29
2866,1/16/2018 8:02,17.36,3.00783E+13,116,1/16/2018 8:02
680,1/16/2018 13:48,1.84,4.26849E+15,144,1/16/2018 13:48
1755,1/16/2018 13:51,13.52,4.15984E+18,54,1/16/2018 13:51
753,1/16/2018 18:45,1.48,4.96292E+18,86,1/16/2018 18:45
665,1/16/2018 19:19,2.55,3.4412E+14,99,1/16/2018 19:19
3278,1/17/2018 0:03,18.05,4.2791E+18,133,1/17/2018 0:03
651,1/17/2018 0:18,3.6,4.15984E+18,44,1/17/2018 0:18
246,1/17/2018 0:22,5.41,4.7432E+18,105,1/17/2018 0:22
2971,1/17/2018 2:02,15.18,2.13194E+14,75,1/17/2018 2:02
2875,1/17/2018 4:56,16.46,3.76028E+14,42,1/17/2018 4:56
758,1/17/2018 6:36,1.02,1.80099E+14,147,1/17/2018 6:36
1551,1/17/2018 6:59,10,4.58696E+18,149,1/17/2018 6:59
1889,1/17/2018 7:31,12.67,4.498E+12,89,1/17/2018 7:31
1593,1/17/2018 7:56,11.91,4.6819E+12,2,1/17/2018 7:56
30,1/17/2018 9:09,3.82,4.71177E+15,111,1/17/2018 9:09
733,1/17/2018 9:25,2.85,3.56195E+15,18,1/17/2018 9:25
878,1/17/2018 11:09,12.27,3.76028E+14,146,1/17/2018 11:09
3340,1/17/2018 15:02,1.72,4.498E+12,115,1/17/2018 15:02
